id, iata, icao, name, country_id
1346,BTP,NULL,GRAHAM FIELD,57
1347,ESN,NULL,EASTON,57
1348,ABE,NULL,LEHIGH VALLEY INT'L,57
1349,CEZ,NULL,MONTEZUMA COUNTY,57
1350,CLP,NULL,CLARKS POINT,57
1351,KCN,NULL,SPB,57
1352,CHL,NULL,CHALLIS,57
1353,CNM,NULL,CARLSBAD,57
1354,CLD,NULL,NULL,57
1355,BDR,NULL,IGOR I.SIKORSKY,57
1356,BIG,NULL,INTERMEDIATE FIELD,57
1357,WAS,KADW,ANDREWS,57
1358,ILM,NULL,NEW HANOVER COUNTY,57
1359,WBW,NULL,WYOMING VALLE,57
1360,TUS,KTUS,TUCSON INTL,57
1361,SAV,NULL,SAVANNAH/HILTON HEAD,57
1362,RLA,NULL,NATIONAL,57
1363,MGM,NULL,DANNELLY FIELD,57
1364,MDO,NULL,INTERMEDIATE,57
1365,ITH,NULL,TOMPKINS COUNTY,57
1366,BUJ,NULL,AIN EDDIS,57
1367,TMR,DAAT,AGUENNAR,57
1368,SBZ,LRSB,SIBIU,57
1369,ABV,DNAA,ABUJA,57
1370,NULL,OAIX,BAGRAM,57
1371,NULL,RKSM,SINCHONRI,58
1372,GMP,NULL,GIMPO INTERNATIONAL,58
1373,SEL,RKSS,KIMPO INTL,58
1374,CHN,NULL,CHONJU,58
1375,PUS,RKPK,KIMHAE INTL,58
1376,HIN,NULL,SACHEON,58
1377,CHF,NULL,CHINHAE,58
1378,CJJ,NULL,CHEONG JU AIRPORT,58
1379,JCJ,NULL,CHU JA HELIPORT,58
1380,CJU,RKPC,CHEJU ARPT,58
1381,ICN,RKSI,INCHEON INTERNATIONAL AIRPORT,58
1382,JSP,NULL,SOGWIPO HELIPORT,58
1383,SHO,NULL,SEOLAK,58
1384,KNN,GUXD,DIANKANA,59
1385,NZE,GUNZ,KONIA,59
1386,SBI,NULL,SAMBAILO,59
1387,LEK,GULB,TATA,59
1388,CKY,GUCY,CONAKRY,59
1389,FAA,GUFH,BADALA,59
1390,LCA,LCLK,LARNACA INTL,60
1391,NIC,LCNC,NICOSIA,60
1392,PFO,LCPH,PAPHOS,60
1393,ECN,LCEN,ERCAN INTERNATIONAL AIRPORT,60
1394,ISL,NULL,ISL,61
1395,GZP,LTFG,Gazipasa Airport,61
1396,MSR,LTCK,MUSH,61
1397,ERC,ERC,ERZINCAN,61
1398,ERZ,LTCE,ERZURUM,61
1399,EDO,NULL,EDREMIT/KORFEZ,61
1400,TEQ,LTBU,CORLU,61
1401,CKZ,NULL,CANAKKALE,61
1402,YEI,LTBR,YENISEHIR,61
1403,BTZ,LTBE,BURSA,61
1404,AYT,LTAI,ANTALYA,61
1405,ESB,LTAC,ESENBOGA,61
1406,ANK,LTAD,"ETISMEGUT AIRPORT, ANKARA",61
1407,ADA,LTAF,ADANA,61
1408,AOE,NULL,ANADOLU UNIVERSITY,61
1409,NULL,LTBI,ESKISEHIR/MIL,61
1410,NULL,LTAG,ADANA/MIL/,61
1411,ISR,NULL,ISKENDERAN,61
1412,IST,LTBA,ATATURK,61
1413,IZM,LTFA,IZMIR,61
1414,ADB,LTBJ,ADNAN MENDERES,61
1415,DLM,LTBS,DALAMAN,61
1416,SAW,LTFJ,SABIHA,61
1417,TZX,LTCG,TRABZON,61
1418,DNZ,NULL,CARDAK,61
1419,MQJ,NULL,MERKEZ,61
1420,KYA,NULL,KONYA,61
1421,SZF,LTFH,CARSAMBA,61
1422,VAS,LTAR,SIVAS,61
1423,BJV,LTFE,BODRUM,61
1424,BXN,LTBV,BODRUM,61
1425,GZT,NULL,GAZIANTEP,61
1426,ISE,LTFC,ISPARTA,61
1427,NAV,LTAZ,NEVSEHIR,61
1428,MIU,DNMA,MAIDUGURI,62
1429,SKO,DNSO,SADDIQ ABUBAKAR III INT.,62
1430,PHC,DNPO,PORT HARCOURT INTL,62
1431,LOS,DNMM,MURTALA MUHAMMED,62
1432,KAN,DNKN,MALLAM AMINU KANO INTL,62
1433,KAD,DNKA,KADUNA,62
1434,ILR,DNIL,ILORIN,62
1435,CBQ,DNCA,CALABAR,62
1436,GIB,LXGB,NORTH FRONT,63
1437,BTQ,NULL,BUTARE,64
1438,KGL,HRYR,KIGALI GREGOIRE KAYIBANDA,64
1439,CHJ,NULL,CHIPINGE,65
1440,VFA,FVFA,VICTORIA FALLS,65
1441,BUQ,FVBU,BULAWAYO,65
1442,HRE,FVHA,HARARE,65
1443,DYU,UTDD,DUSHANBE,66
1444,LBD,UTDL,KHUDZHAND,66
1445,WUX,ZSWX,SUNAN SHUOFADN,67
1446,NKG,ZSNJ,NANJING,67
1447,HRB,ZYHB,YANJIAGANG,67
1448,HGH,ZSHC,JIANQIAO,67
1449,CAN,ZGGG,BAIYUN,67
1450,GYS,NULL,GUANG YUAN,67
1451,KHH,RCKH,GAOXIONG,67
1452,CIF,NULL,CHIFENG,67
1453,CTU,NULL,CHENGDU,67
1454,CHG,NULL,CHAOYANG AIRPORT,67
1455,CZX,NULL,CHANGZHOU,67
1456,CIH,NULL,CHANGZHI,67
1457,CSX,NULL,CHANGSHA,67
1458,CGD,NULL,CHANGDE,67
1459,CGQ,NULL,CHANGCHUN,67
1460,PEK,ZBAA,BEIJING,67
1461,NAY,NULL,NANYUAN,67
1462,HSN,NULL,ZHOUSHAN,67
1463,YIW,NULL,YIWU,67
1464,YNT,NULL,LAISHAN,67
1465,XUZ,NULL,GUANUIN,67
1466,SIA,NULL,XIGUAN,67
1467,XIY,NULL,XIANYANG,67
1468,WNZ,ZSWZ,WENZHOU,67
1469,TNH,NULL,TONGHUA LIHUE,67
1470,JZN,NULL,JIU ZHAI HUANG LONG,67
1471,SYX,ZGSY,SANYA FENGHUANG INTERNATIONAL AIRPORT,67
1472,TAO,ZSQD,QINGDAO,67
1473,NGB,NULL,NINGBO,67
1474,LUM,NULL,MANGSHI,67
1475,JHG,NULL,GASA,67
1476,FOC,NULL,FUZHOU,67
1477,DOY,NULL,DONGYING,67
1478,DLC,NULL,DALIAN,67
1479,HAK,ZJHK,MEILAN,67
1480,NULL,ZBBB,BEIJING CITY,67
1481,KMG,ZPPP,WUJIABA,67
1482,URC,ZWWW,DIWOPU,67
1483,CKG,NULL,CHONGQING,67
1484,CNI,NULL,CHANGHAI,67
1485,ZGC,ZLLL,ZHONGCHUAN,67
1486,LHW,KLHZ,LANZHOU,67
1487,HHA,ZGHA,CHANGSHA HUANGHUA INTERNATIONAL AIRPORT,67
1488,XMN,ZSAM,GAOQI,67
